Question,Answer,Category,Keywords
What are your opening hours?,We are open daily from 10:00 AM to 11:00 PM.,Restaurant Info,"timing,opening hours,open,close"
What time do you close?,We close every day at 11:00 PM.,Restaurant Info,"closing time,close"
Are you open today?,Yes. We are open daily from 10:00 AM to 11:00 PM.,Restaurant Info,"today,open"
Where is Meeple Cafe located?,Meeple Cafe is located in Chennai.,Restaurant Info,"location,address,map"
Do you have parking?,Yes. Parking is available for customers.,Facilities,"parking,car,bike"
Do you have Wi-Fi?,Yes. Complimentary Wi-Fi is available.,Facilities,"wifi,internet"
Do you have board games?,Yes. We have a wide collection of board games for customers.,Board Games,"board games,games"
How much is the board game charge?,Weekday: ₹100 per person per hour. Weekend: ₹120 per person per hour.,Board Games,"rates,board game,price"
What are Happy Hours?,Happy Hours are from 3:00 PM to 6:00 PM.,Offers,"happy hours,discount"
What discount is available during Happy Hours?,Weekdays: 20% OFF on the entire bill. Weekends: 10% OFF on the entire bill.,Offers,"discount,offer"
Do combos include Happy Hour discounts?,No. Happy Hour offers are not applicable on combo meals.,Offers,"combo,happy hour"
Do you have vegetarian food?,Yes. We offer a wide variety of vegetarian dishes.,Food,"veg,vegetarian"
Do you have non-vegetarian food?,Yes. We serve selected chicken dishes, burgers, pizzas and wraps.,Food,"non veg,chicken"
Do you serve coffee?,Yes. We serve hot coffee, iced coffee and specialty beverages.,Beverages,"coffee"
Do you have desserts?,Yes. We serve waffles, brownies, ice cream and affogato.,Desserts,"dessert,sweet"
Can I order takeaway?,Yes. Takeaway orders are available.,Ordering,"takeaway"
Do you provide home delivery?,Please check with the restaurant regarding delivery availability.,Ordering,"delivery,home delivery"
Can I customize my order?,Some menu items can be customized. Please ask while ordering.,Ordering,"customize,extra"
Which payment methods do you accept?,We accept Cash, UPI, Credit Cards and Debit Cards.,Payment,"cash,upi,card"
Can I pay using UPI?,Yes. UPI payments are accepted.,Payment,"upi,gpay,phonepe,paytm"
Can I reserve a table?,Please contact the restaurant directly for table reservations.,Reservation,"reservation,booking"
How can I contact Meeple Cafe?,Please contact the restaurant using the phone number available on the official listing or social media page.,Contact,"phone,contact"
Is GST included in the bill?,GST will be charged as applicable.,Billing,"gst,tax,bill"
Do you have combo meals?,Yes. We have combo meals that include food, beverages and board game access.,Combo,"combo"
Do you have pasta?,Yes. We serve Napoletana, Arrabbiata, Alfredo and Pink Velvet pasta.,Menu,"pasta"
Do you have pizza?,Yes. We serve Margherita, Farmhouse, Paneer Tikka Supreme and Chicken Pizza.,Menu,"pizza"
Do you have burgers?,Yes. We serve Classic Vegetable Stack, Nashville Hot Chicken Burger, Smashed Chicken & Cheddar Burger and Crispy Fried Chicken Burger.,Menu,"burger"
Do you have shakes?,Yes. We offer a variety of milkshakes, smoothies and frappes.,Menu,"shake,smoothie"
Do you have sandwiches?,Yes. We serve toasties, paninis and wraps.,Menu,"sandwich,wrap"
Thank you!,You're welcome! Have a wonderful day at Meeple Cafe 😊.,General,"thanks"
Bye!,Thank you for visiting Meeple Cafe. We look forward to serving you again! 👋,General,"bye,goodbye"
